IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_NAME_BOARD,MOBITEL_NAME_BOARD,HUTCH_NAME_BOARD,AIRTEL_NAME_BOARD,TOTAL_NAME_BOARD_COUNT,DIALOG_SIDE_BOARD,MOBITEL_SIDE_BOARD,HUTCH_SIDE_BOARD,AIRTEL_SIDE_BOARD,TOTAL_SIDE_BOARD_COUNT,DIALOG_TIN_BOARD,MOBITEL_TIN_BOARD,HUTCH_TIN_BOARD,AIRTEL_TIN_BOARD,TOTAL_TIN_BOARD_COUNT,NAME_BOARD_INF_S3_ARN,TIN_BOARD_INF_S3_ARN,SIDE_BOARD_INF_S3_ARN,PROFILE_NAME,SALES_AREA,CAPTURE_PHASE
30660,68543,54971,2025-04-29 06:36:35.490,2025-04-25 10:33:28.148,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54971/1/ORIGINAL/image_30660.jpeg,9.2458368,80.8309569,,,,,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54971/1/INFERENCE/NAME_BOARD/image_30660.jpeg,,,jude stores,Mullaitivu,4
30814,124251,54962,2025-04-29 06:36:35.490,2025-04-25 10:48:36.679,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54962/1/ORIGINAL/image_30814.jpeg,9.2413949,80.8344918,,,,,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54962/1/INFERENCE/NAME_BOARD/image_30814.jpeg,,,Jenith Stores,Mullaitivu,4
32660,71138,77055,2025-04-29 06:36:35.490,2025-04-26 09:52:18.565,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/77055/1/ORIGINAL/image_32660.jpeg,0,0,,,,,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/77055/1/INFERENCE/NAME_BOARD/image_32660.jpeg,,,Kaviyarasan Stores ,Mullaitivu,4
30666,69959,55047,2025-04-29 06:36:35.490,2025-04-25 10:34:15.002,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/55047/1/ORIGINAL/image_30666.jpeg,9.2458368,80.8309569,,,,,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/55047/1/INFERENCE/NAME_BOARD/image_30666.jpeg,,,Jance Stores,Mullaitivu,4
30670,69959,55047,2025-04-29 06:36:06.224,2025-04-25 10:34:22.530,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/55047/3/ORIGINAL/image_30670.jpeg,9.2458368,80.8309569,,,,,Mullaitivu,Northern,,,,,,0,0,0,0,0,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/55047/3/INFERENCE/SIDE_BOARD/image_30670.jpeg,Jance Stores,Mullaitivu,4
30816,124251,54962,2025-04-29 06:36:06.224,2025-04-25 10:48:41.275,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54962/3/ORIGINAL/image_30816.jpeg,9.2413949,80.8344918,,,,,Mullaitivu,Northern,,,,,,0,0,0,0,0,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54962/3/INFERENCE/SIDE_BOARD/image_30816.jpeg,Jenith Stores,Mullaitivu,4
31321,2141663,1676037,2025-04-26 06:39:59.987,2025-04-25 11:45:05.701,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1676037/1/ORIGINAL/image_31321.jpeg,9.2711956,80.8174457,,,,,Mullaitivu,Northern,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1676037/1/INFERENCE/NAME_BOARD/image_31321.jpeg,,,SHANA STORES,Mullaitivu,4
30223,210323,160036,2025-04-26 06:39:30.562,2025-04-25 09:51:27.361,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/160036/1/ORIGINAL/image_30223.jpeg,9.2607131,80.822985,,,,,Mullaitivu,Northern,1,0,0,0,1,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/160036/1/INFERENCE/NAME_BOARD/image_30223.jpeg,,,NIJANTHAN STORES ,Mullaitivu,4
34211,1491892,1184586,2025-05-03 06:35:07.606,2025-04-28 11:28:54.632,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1184586/1/ORIGINAL/image_34211.jpeg,6.7095021,81.1072583,Uva,Moneragala,Wellawaya,Yalabowa,Monaragala,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1184586/1/INFERENCE/NAME_BOARD/image_34211.jpeg,,,Hemachandra Stores,Monaragala 2,4
35087,135636,108986,2025-05-03 06:35:07.606,2025-04-29 12:27:17.148,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/108986/1/ORIGINAL/image_35087.jpeg,6.9069947,81.4510731,Uva,Moneragala,Siyambalanduwa,Indigasella,Monaragala,Uva Sabaragamuwa,0,0,0,0,0,,,,,,,,,,,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/108986/1/INFERENCE/NAME_BOARD/image_35087.jpeg,,,Sena stores,Monaragala 1,4
