PROVINCE_N,DISTRICT_N,DSD_N,GND_N,SALES_REGION,SALES_AREA
Central,Kandy,Akurana,Rambuke Ela,Central,Kandy 1
Central,Kandy,Poojapitiya,Uggala Janapadaya,Central,Kandy 3
Central,Kandy,Poojapitiya,Ovissa North,Central,Kandy 1
Central,Kandy,Akurana,Delgasgoda,Central,Kandy 3
Central,Kandy,Akurana,Dippitiya,Central,Kandy 2
Central,Kandy,Akurana,Kasawatta,Central,Kandy 3
Central,Kandy,Akurana,Melchena,Central,Kandy 2
Western,Kalutara,Horana,Munagama East,Western,Kalutara 1
Western,Kalutara,Horana,Kirigalahena,Western,Kalutara 3
Western,Kalutara,Horana,Meewanapalana West,Western,Kalutara 3
Western,Kalutara,Horana,Midellamulahena,Western,Kalutara 2
Central,Kandy,Pathahewaheta,Uduwela Pallegama East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Medadeniya,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kandewela,Central,Kandy 2
Central,Kandy,Pathahewaheta,Godamunna West,Central,Kandy 1
Central,Kandy,Pathahewaheta,Batagalla,Central,Kandy 1
Central,Kandy,Pathahewaheta,Unuvinna East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Bawlana,Central,Kandy 2
Central,Kandy,Gangawata Korale,Aniwatta West,Central,Kandy 1
Central,Kandy,Gangawata Korale,Heeressagala,Central,Kandy 1
Central,Kandy,Gangawata Korale,Nagasthenna,Central,Kandy 1
Central,Kandy,Gangawata Korale,Deiyannewela,Central,Kandy 3
Central,Kandy,Gangawata Korale,Katykele,Central,Kandy 2
Central,Kandy,Akurana,Bulugohothanna,Central,Kandy 3
Central,Kandy,Thumpane,Pallekotuwa,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Eramuduliyadda,Central,Kandy 2
Central,Kandy,Hatharaliyadda,Muruddeniya,Central,Kandy 1
Central,Kandy,Yatinuwara,Udawela Nadithalawa,Central,Kandy 1
Central,Kandy,Yatinuwara,Udawela Pallemaditta,Central,Kandy 3
Central,Kandy,Hatharaliyadda,Kolugala,Central,Kandy 1
Central,Kandy,Yatinuwara,Ilukwatta,Central,Kandy 1
Central,Kandy,Yatinuwara,Urapola,Central,Kandy 1
Western,Kalutara,Horana,Pokunuvita,Western,Kalutara 3
Western,Kalutara,Horana,Kulupana,Western,Kalutara 3
Western,Kalutara,Horana,Wewala East,Western,Kalutara 1
Western,Kalutara,Horana,Horana East,Western,Kalutara 3
Western,Kalutara,Horana,Horana South,Western,Kalutara 2
Western,Kalutara,Horana,Munagama West,Western,Kalutara 2
Western,Kalutara,Horana,Narthanagala,Western,Kalutara 1
Western,Kalutara,Horana,Dikhenagama,Western,Kalutara 2
Central,Kandy,Pathahewaheta,Kapuliyadda West,Central,Kandy 2
Central,Kandy,Pathahewaheta,Haputhale Egodagama,Central,Kandy 3
Central,Kandy,Pathahewaheta,Doolmure,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ethulgama East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ethulgama North,Central,Kandy 1
Central,Kandy,Pathahewaheta,Kapuliyadda East,Central,Kandy 1
Central,Kandy,Pathahewaheta,Godalawela,Central,Kandy 2
Central,Kandy,Gangawata Korale,Bahirawa Kanda,Central,Kandy 1
Central,Kandy,Gangawata Korale,Nuwara Dodanwala,Central,Kandy 1
Central,Kandy,Gangawata Korale,Hanthna Pedesa,Central,Kandy 3
Central,Kandy,Gangawata Korale,Bogambara,Central,Kandy 3
Central,Kandy,Gangawata Korale,Ihala Katukele,Central,Kandy 2
Central,Kandy,Gangawata Korale,Asgiriya,Central,Kandy 3
Central,Kandy,Yatinuwara,Madarangoda,Central,Kandy 1
Central,Kandy,Udunuwara,Ihala Koorakuttala,Central,Kandy 1
Central,Kandy,Udunuwara,Pahala Koorukuttla,Central,Kandy 1
Central,Kandy,Udunuwara,Alanduwaka,Central,Kandy 2
Central,Kandy,Udunuwara,Maveekumbura North,Central,Kandy 1
Central,Kandy,Udunuwara,Appallagoda West,Central,Kandy 1
Central,Kandy,Udapalatha,Bowala,Central,Kandy 3
Central,Kandy,Udunuwara,Dihitideniya,Central,Kandy 1
Central,Kandy,Yatinuwara,Gurugama,Central,Kandy 2
Central,Kandy,Yatinuwara,Pahala Dodamwala,Central,Kandy 2
Central,Kandy,Yatinuwara,Giragama,Central,Kandy 1
Central,Kandy,Yatinuwara,Imbulmalgama,Central,Kandy 1
Central,Kandy,Yatinuwara,Aranbegama East,Central,Kandy 1
Central,Kandy,Yatinuwara,Siyambalagoda,Central,Kandy 1
Central,Kandy,Yatinuwara,Parakatawella,Central,Kandy 3
Central,Kandy,Yatinuwara,Maligathenna,Central,Kandy 2
Central,Kandy,Pathahewaheta,Galagoda,Central,Kandy 1
Central,Kandy,Pathahewaheta,Ududeniya Madihe,Central,Kandy 1
Central,Kandy,Pathahewaheta,Pathamailapitiya South,Central,Kandy 1
Central,Kandy,Pathahewaheta,Udamailapitiya North,Central,Kandy 1
Central,Kandy,Pathahewaheta,Udamailapitiya South,Central,Kandy 2
Central,Kandy,Pathahewaheta,Bolepa,Central,Kandy 1
Central,Kandy,Gangawata Korale,Poorna Watta West,Central,Kandy 1
Central,Kandy,Gangawata Korale,Poorna Watta East,Central,Kandy 3
Central,Kandy,Gangawata Korale,Mapanawathura,Central,Kandy 1
Central,Kandy,Gangawata Korale,Wattaranthenna,Central,Kandy 3
Central,Kandy,Gangawata Korale,Pitakanda Gama,Central,Kandy 1
Central,Kandy,Gangawata Korale,Mahaweli Uyana,Central,Kandy 2
Central,Kandy,Gangawata Korale,Watapuluwa,Central,Kandy 1
Central,Kandy,Udapalatha,Ranawala,Central,Kandy 2
