IMAGE_REF_ID,AGENT_ID,PROFILE_ID,FETCHED_DATE,RECEIVED_DATE,S3_ARN,LATITUDE,LONGITUDE,PROVINCE,DISTRICT,DS_DIVISION,GN_DIVISION,SALES_DISTRICT,SALES_REGION,DIALOG_COUNT,MOBITEL_COUNT,HUTCH_COUNT,AIRTEL_COUNT,DIALOG_AREA_PERCENTAGE,AIRTEL_AREA_PERCENTAGE,MOBITEL_AREA_PERCENTAGE,HUTCH_AREA_PERCENTAGE,INF_S3_ARN,PROFILE_NAME,SHAPEISO,SHAPEID,CAPTURE_PHASE,SALES_AREA
30758,71374,77035,2025-04-29 06:36:47.069,2025-04-25 10:42:49.654,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/77035/2/ORIGINAL/image_30758.jpeg,9.2413949,80.8344918,,,,,Mullaitivu,Northern,3,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/77035/2/INFERENCE/PRESENSE/image_30758.jpeg,Mallika Stores,,,4,Mullaitivu
30815,124251,54962,2025-04-29 06:36:47.069,2025-04-25 10:48:38.701,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54962/2/ORIGINAL/image_30815.jpeg,9.2413949,80.8344918,,,,,Mullaitivu,Northern,0,0,1,0,0.00000000000000000,0.00000000000000000,0.00000000000000000,100.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/54962/2/INFERENCE/PRESENSE/image_30815.jpeg,Jenith Stores,,,4,Mullaitivu
32663,71138,77055,2025-04-29 06:36:47.069,2025-04-26 09:52:22.234,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/77055/2/ORIGINAL/image_32663.jpeg,0,0,,,,,Mullaitivu,Northern,1,0,1,0,95.28113988049639715,0.00000000000000000,0.00000000000000000,4.71886011950360018,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/77055/2/INFERENCE/PRESENSE/image_32663.jpeg,Kaviyarasan Stores ,,,4,Mullaitivu
30770,66814,18234,2025-04-29 06:36:47.069,2025-04-25 10:44:12.955,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/18234/2/ORIGINAL/image_30770.jpeg,,,,,,,Vavuniya,Northern,5,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/18234/2/INFERENCE/PRESENSE/image_30770.jpeg,mini coop city,,,4,Vavuniya
30226,210323,160036,2025-04-26 06:39:54.380,2025-04-25 09:51:32.992,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/160036/2/ORIGINAL/image_30226.jpeg,9.2607131,80.822985,,,,,Mullaitivu,Northern,1,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/160036/2/INFERENCE/PRESENSE/image_30226.jpeg,NIJANTHAN STORES ,,,4,Mullaitivu
30203,68559,55061,2025-04-26 06:39:54.380,2025-04-25 09:48:00.097,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/55061/2/ORIGINAL/image_30203.jpeg,9.2607131,80.822985,,,,,Mullaitivu,Northern,1,3,0,1,19.70376700135298620,19.66816207363099167,60.62807092501601858,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/55061/2/INFERENCE/PRESENSE/image_30203.jpeg,Vikna Stores,,,4,Mullaitivu
29151,1933992,1501626,2025-04-26 06:39:54.380,2025-04-24 12:23:36.199,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1501626/2/ORIGINAL/image_29151.jpeg,9.6776589,79.8445548,,,,,Jaffna,Northern,8,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/1501626/2/INFERENCE/PRESENSE/image_29151.jpeg,Livingsan store,,,4,Jaffna Inner
31298,199863,151136,2025-04-26 06:39:54.380,2025-04-25 11:42:01.338,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/151136/2/ORIGINAL/image_31298.jpeg,9.2711956,80.8174457,,,,,Mullaitivu,Northern,4,0,1,0,96.34291439664349355,0.00000000000000000,0.00000000000000000,3.65708560335650334,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/151136/2/INFERENCE/PRESENSE/image_31298.jpeg,Lenhen Tea  Shop,,,4,Mullaitivu
35944,103824,93396,2025-05-03 06:35:02.873,2025-04-30 14:39:17.750,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/93396/2/ORIGINAL/image_35944.jpeg,6.7802537,80.36193,Sabaragamuwa,Rathnapura,Kuruwita,Delgamuwa,Rathnapura,Uva Sabaragamuwa,0,2,1,0,0.00000000000000000,0.00000000000000000,52.32927474854420780,47.67072525145579931,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/93396/2/INFERENCE/PRESENSE/image_35944.jpeg,A N R TRADE CENTER ,LK-91,,4,Rathnapura 1
34223,65929,50968,2025-05-03 06:35:02.873,2025-04-28 11:39:20.542,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/50968/2/ORIGINAL/image_34223.jpeg,9.7706273,79.9530199,Northern,Jaffna,Sandilipay,Vadaliadaippu,Jaffna,Northern,5,0,0,0,100.00000000000000000,0.00000000000000000,0.00000000000000000,0.00000000000000000,arn:aws:s3:::retailer-brand-analysis/Prod/RETAILER/50968/2/INFERENCE/PRESENSE/image_34223.jpeg,AMBAL STORES,LK-41,,4,Jaffna Inner
